Membership No  Date Joined  Active  
    34621      2018-12-3    no    
    17659      2020-9-22    no    
    11426      2019-3-22    no    
    53641      2020-8-17    no    
    46916      2020-6-2     no    
    44862      2019-12-22   no    
    65268      2019-8-18    no    
    97153      2020-12-21   no    
    69280      2020-5-8     no    
    25370      2017-6-13    no    
    58671      2016-4-1     no    
    74439      2015-9-10    no    
    13482      2016-9-11    no    
    75033      2015-2-14    no    
    51085      2016-10-4    no    
    52081      2020-10-3    no    
    68285      2015-1-14    no    
